PRODUCTO,MARCA,MODELO,IMGSRC,CODIGO
ANA HICKMANN AH60078-A03,ANA HICKMANN,AH60078-A03,https://loja.oticaademar.com.br/image/cache/catalog/Produtos//52501%20-%20Armacao%20Ana%20Hickmann%20AH60078%20A03%2052-19%2001-800x800.jpg,2301                  
ANA HICKMANN AH60083-A01,ANA HICKMANN,AH60083-A01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjqmLrIySsAQb5Heu0J1zsvhmMM67EvRanyg&s,2705                  
ANA HICKMANN AH60083-D01,ANA HICKMANN,AH60083-D01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsj22xc_8F4CCpUB7e0DesnuGFSfXR8rR0CQ&s,2704                  
ANA HICKMANN AH6383N-A01,ANA HICKMANN,AH6383N-A01,https://lauriaoculos.com/wp-content/uploads/2022/02/AH6383N-A01.jpg,1960                  
ANA HICKMANN AH6384N-A01,ANA HICKMANN,AH6384N-A01,https://lenshop.gr/images/products/original/ana-hickmann-ah6384-a01.jpg,1947                  
ANA HICKMANN AH6384N-G01,ANA HICKMANN,AH6384N-G01,https://oticasdiniz.vtexassets.com/arquivos/ids/567836-495.1-495.1?v=638488134247830000&width=495.1&height=495.1&aspect=true,1945                  
ANA HICKMANN AH6384N-G21,ANA HICKMANN,AH6384N-G21,https://lenshop.gr/images/products/original/ana-hickmann-ah6384-g21.jpg,1926                  
ANA HICKMANN AH6407N-A01,ANA HICKMANN,AH6407N-A01,https://m.media-amazon.com/images/I/41vUhdmCSyL.jpg,1956                  
ANA HICKMANN AH6421N-H01A,ANA HICKMANN,AH6421N-H01A,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiQjNddNjH8k7y9qLh1H8wJ0YdThLzFfJfGw&s,2718                  
ANA HICKMANN AH90020-A01,ANA HICKMANN,AH90020-A01,https://oculosshop.com.br/cdn/shop/files/56266A.jpg?v=1692213144,2262                  
ANA HICKMANN AH90020-D21,ANA HICKMANN,AH90020-D21,https://oculosshop.com.br/cdn/shop/files/56267A.jpg?v=1692213105,2319                  
ATITUDE AT1701-04A,ATITUDE,AT1701-04A,https://images.tcdn.com.br/img/img_prod/846719/armacao_para_oculos_de_grau_atitude_at1700_04a_4117_1_70c6e14a7ed4266744a70bcd7fb5b133.jpg,2737                  
ATITUDE AT1704-13A,ATITUDE,AT1704-13A,https://d5gag3xtge2og.cloudfront.net/producao/34812836/G/1.jpg,2248                  
ATITUDE AT1709M-02A,ATITUDE,AT1709M-02A,https://imgmarketplace.lojasrenner.com.br/20001/3300/7010704777192/7510710008743/0.jpeg,2328                  
ATITUDE AT1715-04B,ATITUDE,AT1715-04B,https://oculosshop.com.br/cdn/shop/files/57371_grande.jpg?v=1733338425,2748                  
ATITUDE AT1719-04A,ATITUDE,AT1719-04A,https://marketplace.bancointer.com.br/ecommerce/images/platform/665cabe55afd3f45cb4b992eeef56931.png,2848                  
ATITUDE AT1719-04B,ATITUDE,AT1719-04B,https://a-static.mlcdn.com.br/800x800/armacao-atitude-at1719-04a/oticavisaoweb/25910/bfe5ad3bdd247c0c32f99647c11af084.jpeg,2751                  
ATITUDE AT1720-09A,ATITUDE,AT1720-09A,https://marketplace.bancointer.com.br/ecommerce/images/platform/b8752218289a9d9011f5f69abe201172.png,2831                  
ATITUDE AT1720-09A,ATITUDE,AT1720-09A,https://oculosshop.com.br/cdn/shop/files/102872_1_grande.jpg?v=1744040826,2831                  
ATITUDE AT2121-03A,ATITUDE,AT2121-03A,https://oculosshop.com.br/cdn/shop/files/102872_1_grande.jpg?v=1744040826,2327                  
ATITUDE AT2121-04A,ATITUDE,AT2121-04A,https://oculosshop.com.br/cdn/shop/files/100982_1_grande.jpg?v=1726858061,2745                  
ATITUDE AT2122-02A,ATITUDE,AT2122-02A,https://imgs.casasbahia.com.br/1565769383/1xg.jpg?imwidth=1000,2331                  
ATITUDE AT2123-05A,ATITUDE,AT2123-05A,https://loja.oticaolhosdobem.com.br/empresa/5828/produto/produto-1417-1.jpg,2333                  
ATITUDE AT2123-05B,ATITUDE,AT2123-05B,https://www.oticavisaoweb.com.br/pub/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/a/t/at2123_05a.jpg,2332                  
ATITUDE AT2124-06A,ATITUDE,AT2124-06A,https://oculosshop.com.br/cdn/shop/files/100985_1_grande.jpg?v=1726858788,2337                  
ATITUDE AT2124-07A,ATITUDE,AT2124-07A,https://d5gag3xtge2og.cloudfront.net/producao/34892431/G/1.jpg,2336                  
ATITUDE AT2125-08A,ATITUDE,AT2125-08A,https://images.tcdn.com.br/img/img_prod/1365112/atitude_at2124_07a_1157_1_e638ece81965ee04b57aec445fff0c26.jpeg,2859                  
ATITUDE AT2125-13A,ATITUDE,AT2125-13A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos//51944%20-%20Armacao%20Atitude%20AT2125%2009A%2053-18%2001-800x800.jpg,2800                  
ATITUDE AT2127M-A01,ATITUDE,AT2127M-A01,https://images.tcdn.com.br/img/img_prod/1261310/atitude_at1709m_02a_237_1_e9114265cb54268b6d1ccf3abcdcab3c.jpeg,2342                  
ATITUDE AT2127M-H01,ATITUDE,AT2127M-H01,https://oculosshop.com.br/cdn/shop/files/100986_1.jpg?v=1726859008,2340                  
ATITUDE AT2133M-04A,ATITUDE,AT2133M-04A,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-de-oculos-atitude-at2127m-h01-grafite-fosco/oticawebmey2/at2127m-h01-v/577b7d989c5aa05c5d03b2a0424f5bd6.jpeg,2825                  
ATITUDE AT2134M-04A,ATITUDE,AT2134M-04A,https://www.oticavisaoweb.com.br/pub/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/a/t/at2133m_06b.jpg,2863                  
ATITUDE AT2135-02A,ATITUDE,AT2135-02A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos//51944%20-%20Armacao%20Atitude%20AT2125%2009A%2053-18%2001-800x800.jpg,2759                  
ATITUDE AT2135-04A,ATITUDE,AT2135-04A,https://marketplace.bancointer.com.br/ecommerce/images/platform/f6e86a96efdb75be66f72e5404f01552.png,2347                  
ATITUDE AT2135-05A,ATITUDE,AT2135-05A,https://marketplace.bancointer.com.br/ecommerce/images/platform/f6e86a96efdb75be66f72e5404f01552.png,2348                  
ATITUDE AT2136-05A,ATITUDE,AT2136-05A,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-atitude-at2135-05a/oticavisaoweb/25913/e8397c2c8bf91ac5405ae31b1a891d7c.jpeg,2846                  
ATITUDE AT2137-05A,ATITUDE,AT2137-05A,https://americanas.vtexassets.com/arquivos/ids/7215573/7514013739_1_xlarge.jpg?v=638751731653900000,2350                  
ATITUDE AT2137-12A,ATITUDE,AT2137-12A,https://www.safira.com.br/cdn/imagens/produtos/det/armacao-feminina-atitude-at2137-05a-c4c6ce2ed77e17170f05db846eec22f9.jpg,2352                  
ATITUDE AT2137-13A,ATITUDE,AT2137-13A,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjuReI4oLXMe9vumYt6maiA5GdHj31Y3GwOg&s,2351                  
ATITUDE AT2138-05A,ATITUDE,AT2138-05A,https://images.tcdn.com.br/img/img_prod/877056/oculos_de_grau_original_atitude_em_metal_unissex_at2137_15639_1_7c0443bf81b56bf47fae36999abcbc8d.jpg,2349                  
ATITUDE AT2138-12A,ATITUDE,AT2138-12A,https://d5gag3xtge2og.cloudfront.net/producao/34576572/G/16.png,2354                  
ATITUDE AT2138-13A,ATITUDE,AT2138-13A,https://goeyewear.com.br/wp-content/uploads/2024/06/AT2138-12A.jpg,2353                  
ATITUDE AT2161-01A,ATITUDE,AT2161-01A,https://goeyewear.com.br/wp-content/uploads/2024/06/AT2138-12A.jpg,2778                  
ATITUDE AT2161-04A,ATITUDE,AT2161-04A,https://http2.mlstatic.com/D_NQ_NP_960120-MLA95620021945_102025-O.webp,2773                  
ATITUDE AT2161-09A,ATITUDE,AT2161-09A,https://http2.mlstatic.com/D_NQ_NP_960120-MLA95620021945_102025-O.webp,2827                  
